"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"obis",-80.2923332,25.1336,6.1,"Stegastes variabilis"
"obis",-82.8324,24.65349,9,"Stegastes variabilis"
"obis",-80.1422332,25.4526333,8.2,"Stegastes variabilis"
"obis",-82.83008,24.62219,12,"Stegastes variabilis"
"obis",-82.87047,24.61129,17.5,"Stegastes variabilis"
"obis",-82.9703833,24.57095,17.5,"Stegastes variabilis"
"obis",-82.923633,24.669083,14,"Stegastes variabilis"
"obis",-82.90254,24.61107,9.2,"Stegastes variabilis"
"obis",-82.85004,24.72208,16.8,"Stegastes variabilis"
"obis",-83.0331333,24.6813167,19.2,"Stegastes variabilis"
"obis",-82.9466167,24.5629333,18.7,"Stegastes variabilis"
"obis",-82.922683,24.638933,6.6,"Stegastes variabilis"
"obis",-80.8077667,24.7269167,23.5,"Stegastes variabilis"
"obis",-80.2903499,25.1543833,3.8,"Stegastes variabilis"
"obis",-82.997933,24.685533,23.8,"Stegastes variabilis"
"obis",-82.9156667,24.6833833,18.3,"Stegastes variabilis"
"obis",-83.04374,24.70561,22.6,"Stegastes variabilis"
"obis",-82.98834,24.71489,16.6,"Stegastes variabilis"
"obis",-80.5894333,24.8737334,7.3,"Stegastes variabilis"
"obis",-80.5039333,24.9203667,14.9,"Stegastes variabilis"
"obis",-81.56355,24.5209333,8.8,"Stegastes variabilis"
"obis",-80.68061,24.80898,9,"Stegastes variabilis"
"obis",-80.2467,25.1742333,13,"Stegastes variabilis"
"obis",-82.9024,24.5998,6.6,"Stegastes variabilis"
"obis",-82.9856667,24.7073333,19.5,"Stegastes variabilis"
"obis",-80.9252833,24.7276,6.4,"Stegastes variabilis"
"obis",-80.36295,25.02194,12.7,"Stegastes variabilis"
"obis",-82.81645,24.62587,15.8,"Stegastes variabilis"
"obis",-82.90793,24.58152,10.6,"Stegastes variabilis"
"obis",-82.8009167,24.6310833,11.3,"Stegastes variabilis"
"obis",-80.1408833,25.3627667,7.3,"Stegastes variabilis"
"obis",-81.3931833,24.5654334,7.3,"Stegastes variabilis"
"obis",-80.43966,25.01797,3,"Stegastes variabilis"
"obis",-81.48888,24.54206,6.6,"Stegastes variabilis"
"obis",-82.81395,24.7246833,16.9,"Stegastes variabilis"
